ID,カテゴリ,発言者/種別,項目内容,詳細文脈・理由,関連放送回,タイムスタンプ
M147,名言,田代智一,1人サファリパークはきつい,第78回放送で、世の中で一番きつい1人～は何かという話になって仰られていた名言,第78回,2025/10/29 8:31:31
M148,名言,田淵智也,寿司でも時事ネタでも旬が大事,第79回放送で、時事ネタ回を話すときに仰られていた名言,第79回,2025/10/29 8:56:57
M149,名言,田淵智也,外野だまってろ,第79回放送で、漫画家のアシスタントがブラックだという話から仰られていた名言,第79回,2025/10/29 9:15:55
M150,名言,田淵智也,謙虚な姿勢で日々を生きてる,第80回放送で、前回の放送で田淵さんが喋りすぎてるということを気にしているときに仰られていた名言,第80回,2025/10/29 9:35:15
M151,名言,田淵智也,心を込めることを諦めてはいけない,第737回の放送で、転職しようか迷っているリスナーに仰られていた名言,第737回,2025/10/31 6:15:34
M152,名言,田淵智也,やった方が人生はおもろい,第687回の放送で、仮面浪人をオススメしたデラさんの案に対して仰られていた名言,第687回,2025/11/01 21:08:33
M153,名言,田代智一,星1レビューつけるしかない,第687回の放送で、旅行先の飲食店に男女2人で行ったが男性客の方だけ大盛だったという閉塞感に仰られていた名言,第687回,2025/11/01 21:15:33
M154,名言,田淵智也,砂糖と人工甘味料は普通にダメ,第687回放送で、肌荒れに悩んでいた田淵さんがお医者さんに言われた名言,第687回,2025/11/01 21:23:02
M155,名言,田淵智也,カウンセリングに行く,第687回の放送で、美容にお金をかけすぎてしまうのではないかというリスナーの不安に仰られていた名言,第687回,2025/11/01 21:50:34
M156,名言,田代智一,生ものだからしょうがないじゃん,第83回の放送で、ギターの発表でミスをしてしまったリスナーに仰られていた名言,第83回,2025/11/05 4:58:17
M157,名言,田淵智也,世の中って思ったより場あたり,第83回放送で、ギターを続けるか絵の道に進むか迷っていたリスナーに仰られていた名言,第83回,2025/11/05 5:00:23
M158,名言,田淵智也,楽しくないならやらなきゃいい,第83回の放送で、ギターを続けるか、絵の道に進むかで迷っているリスナーに仰られていた名言,第83回,2025/11/05 5:03:40
M159,名言,田淵智也,思わぬところで潰しがきく,第83回の放送で、ギターを続けるか、絵の道に進むかで迷っていたリスナーに仰られていた名言,第83回,2025/11/05 5:06:21
M160,名言,田淵智也,誰が言ってるか問題,第681回放送で、芸能人の結婚しましたという投稿にコメントすることに対する名言,第681回,2025/11/05 5:10:15
M161,名言,田淵智也,みんなが見えるところでやんなくてよくね,第681回の放送で、芸能人の結婚しましたの投稿にコメントすることに対する名言,第681回,2025/11/05 5:12:16
M162,名言,田淵智也,手紙を書けよ,第681回の放送で、芸能人の結婚しましたという投稿にコメントすることに対する名言,第681回,2025/11/05 5:13:43
M163,名言,田淵智也,なんとかなるんじゃん精神,第688回放送で、SNSで子どもを産むことに否定的な意見が多いことに閉塞感を抱えているリスナーの方に仰られていた名言,第688回,2025/11/07 10:45:12
M164,名言,田代智一,余計なこと考えず、自分の人生やった方がいい。,第688回で、SNSで子どもを産むことに否定的な意見が多いことに悩んでいるリスナーの方に仰られていた名言,第688回,2025/11/07 10:47:10
M165,名言,田代智一,調べすぎずに、自分のことだけに集中。自分のことだけに構った方がいい,第673回。仕事や人間関係で疲れて休養中のリスナーへ、ネット情報に惑わされず自分自身のケアに専念するようアドバイスした名言。,第673回,2025/11/07 20:59:46
M166,名言,田淵智也,休んではいけないという同調圧力に負けずに休め,第673回。無理をしてしまいがちなリスナーに対して、周囲の目を気にせずしっかりと休息を取ることの大切さを伝えた名言。,第673回,2025/11/07 21:13:17
M167,名言,田代智一,マッチョにならなくてもいい,第677回の放送で、インターネットだと強くなれみたいな意見が多いが弱くてもいいということを仰られていた名言,第677回,2025/11/08 22:52:40
M168,名言,田淵智也,孤独じゃなければ人は死なない,第677回。思い悩んでいるリスナーに対して、人との繋がりや相談できる環境の重要性を力強く伝えた名言。,第677回,2025/11/08 22:53:53
M169,名言,田代智一,あなたが忙しいように私も忙しいんです,第93回の放送で、断ることが苦手なリスナーの方に断り方を仰られていた名言,第93回,2025/11/10 16:52:13
M170,名言,田代智一,言い訳をしないでサックリ断る,第93回放送で、断ることが苦手なリスナーの方に断る時は理由を伝えずに断る方が良いということで仰られていた名言,第93回,2025/11/10 16:54:10
M171,名言,田代智一,自分に向いてるリア充を探す,第93回の放送で、積極的になってリア充を目指すというリスナーの方に、リア充だから積極的になる必要はないということを仰られていた名言,第93回,2025/11/10 16:56:13
M172,名言,田淵智也,人を信頼して投げる,第93回の放送で、デラさんの目標が人に任せるという目標の時に仰られていた名言,第93回,2025/11/10 16:57:56
