ID,発言者,名言内容,文脈・詳細,関連放送回,タイムスタンプ
M082,田淵智也,田淵サーモン智也です。,第3回放送で、田代さんといっせいのせで好きな寿司のネタを言うという流れになったときに田代さんが「鯖」田淵さんが「サーモン」といい揃わなかった後の田淵さんの挨拶で出た名言,第3回,2025/09/08 11:22:51
M083,田淵智也,あなたの閉塞感いただきま～す,第3回放送で、打破タッチ！がまだしっくりきてなかった時にでた候補の名言,第3回,2025/09/08 11:25:46
M084,田代智一,本当に今閉塞している人は飛び出してしまった方がいい,第3回放送で田代さんの留学経験から仰られた名言,第3回,2025/09/08 11:31:55
M085,田淵智也,日本出不精,第3回放送で飛行機が苦手で海外旅行ができない田淵さんが仰られていた名言。,第3回,2025/09/08 11:39:39
M086,田代智一,スルーしてるんじゃなくて受け止めてる。,第4回放送で、ボケる田淵さんに対して仰られていた名言,第4回,2025/09/08 11:52:01
M087,田淵智也,5年、10年後に聞き返して恥ずかしくないラジオ作りをしていきたい。,第4回の放送で第1回目の放送を聞いた田淵さんの感想名言,第4回,2025/09/08 12:29:44
M088,田淵智也,飲み込まないでよ～,第4回の放送で田代さんが田淵さんのボケを受け止めた時に出た名言。,第4回,2025/09/08 12:34:33
M089,田淵智也,雨が降る。それでもお前に風が吹く。,第4回放送で、パーソナリティー力を審査するために、曲紹介の例として仰られた名言。,第4回,2025/09/08 12:36:57
M090,田代智一,涙で濡れた枕カバーも、洗ってしまえばダウニーのいい香り。明日も元気にあいつをぶん殴ろう。,第4回放送で、ラジオパーソナリティーとして曲紹介をする練習で仰られていた名言。紹介された曲はロッキーのテーマ曲,第4回,2025/09/08 12:45:59
M091,田淵智也,SOS団の6人目のメンバーとして踊って五月病をぶっ飛ばす,第4回放送で、ラジオパーソナリティーの曲紹介の練習で「ハレ晴レユカイ」を紹介した時に仰られていた名言,第4回,2025/09/08 12:51:18
M092,田代智一,あれ、自由業なのに自由じゃないな～,第4回の放送で、オープニングトークの練習中に石ころを蹴ったり、木に登ったり、何かをしたら不審者になってしまうことについてトークをした後に締めに仰られていた名言,第4回,2025/09/08 12:56:51
M093,田淵智也,21世紀のツンデレミュージシャンとして頑張ってきた。,第4回放送で、ラジオスキルを検証する企画で田淵さんがツンデレすぎた時に仰られていた名言,第4回,2025/09/08 13:01:03
M094,田淵智也,今の俺の解釈面白くないですか？,第5回放送で田淵さんが絵画を見たときに仰られていた名言,第5回,2025/09/11 3:42:19
M095,田代智一,抵抗を示さないで、行ってみると面白いよ。,第5回放送で美術館に行くことをおすすめするために仰られていた名言。,第5回,2025/09/11 3:47:08
M096,田代智一,要するにギャグマンガなんだよね。,第5回放送で、シュルレアリスムを一言で表した時に仰られていた名言。,第5回,2025/09/11 3:50:57
M097,田淵智也,僕が仲良くなる人は孤独な人なんですよ。,第7回放送でラジオ好きな人が自分の周りにいるがみんな孤独な人だということを仰られていた名言。,第7回,2025/09/11 3:54:56
